;AMPHLEI;APIOERR;APIOVEN;ARMICEP;ARMIGAL;ARMIMEL;ARMIOST;ASTETIL;BISCMED;BJERADU;BLUMJAA;BOTRCIN;BOTRDOT;BOTRSTE;CALIPIN;CENAFER;CERAIPS;CERAMIN;CERAPLA;CHONPUR;CHRYABI;CHRYLED;COLETUS;COLPQUE;CRISDEP;CRONFLA;CRONQUE;CRONRIB;CRUMSOR;CRYPCAS;CRYPCOR;CRYPHYA;CRYPPAR;CRYPPOP;CYCLMIN;CYCLNIV;CYLIDID;DAEDCON;DELPABI;DICADRY;DISCCAS;DREPPUN;ENTOMAM;EUTYLAT;FISTHEP;FOMEFOM;FOMICYT;FOMIPIN;FUSAOXY;FUSIQUE;GANOADS;GANOAPP;GANORES;GNOMLEP;GREMABI;GYMNFUS;HAEMHAE;HERPJUN;HETEANN;HYPOFRA;LACHWIL;LAETSUL;LEPTLUN;LEPTPRO;LEUCPER;LIRUMAC;LIRUNER;LOPHCON;LOPHPIC;LOPHPIN;LOPHSED;MELAALL;MELACAR;MELALAR;MELAMOD;MELAPOP;MERIGIG;MICRALP;MICRJUG;MONOMON;MYCOCAS;MYCODEA;MYCOMIC;MYCOPIN;NECTCIN;NECTCOC;NECTDIT;NECTFUC;NECTVEU;NEONGAL;OPHIPIC;OPHISER;OPHIULM;OUDEMUC;OXYPPOP;PESTFUN;PEZICIN;PHACCON;PHAEGAE;PHAESCH;PHELCHR;PHELHAR;PHELIGN;PHELPIN;PHELROB;PHLOACE;PHOMJUN;PHOMQUE;PHYLACE;PHYLGUT;PLEUOST;PLEUPSE;PODOCLA;POLLRAD;POLYSQU;PSEUDRY;PUCCEPI;RHABPSE;RHIZKAL;RHIZMAC;RHIZOUD;RHIZUND;RHYTACE;ROSENEC;SARERES;SAWATUL;SCHICOM;SEIRCAR;SEPTPOD;SEPTQUE;SIROSTR;SPARCRI;SPHASAP;STEGPYR;STERHIR;STERSAN;STIGCAR;SYDOPOL;TAPHBET;TAPHCAE;TAPHCER;TAPHPOP;TITATRE;TRAMGIB;TRAMVER;TRUNHAR;VALSAMB;VALSKUN;VALSNIV;VALSSOR;VENTFRA;VENTINA;VERTDAH;ZYTHPIN
BLUMJAA;5;5;5;6;6;6;6;5;5;6;0;3;5;5;5;3;5;5;5;6;6;6;6;4;3;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;2;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;2;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
BOTRCIN;5;5;5;6;6;6;6;5;5;6;3;0;5;5;5;3;5;5;5;6;6;6;6;4;2;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;2;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
BOTRDOT;5;5;5;6;6;6;6;5;5;6;5;5;0;1;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;4;5;4;5;5;5;6;6;6;6;5;2;6;6;6;5;5;6;5;4;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;5;5;5;4;6;6;6;6;6;6;4;5;5;2;5;6;5;5;4;6;6;6;5;4;4;4;5;5;5;5;5;6;5;5;4;5;6;5;4;6;6;4;4;5;5;5;5;5;6;6;5;5;5;5;5;4;4;5;5
BOTRSTE;5;5;5;6;6;6;6;5;5;6;5;5;1;0;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;4;5;4;5;5;5;6;6;6;6;5;2;6;6;6;5;5;6;5;4;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;4;4;4;4;5;5;5;5;5;5;5;5;5;6;6;5;5;5;4;6;6;6;6;6;6;4;5;5;2;5;6;5;5;4;6;6;6;5;4;4;4;5;5;5;5;5;6;5;5;4;5;6;5;4;6;6;4;4;5;5;5;5;5;6;6;5;5;5;5;5;4;4;5;5
CALIPIN;5;5;5;6;6;6;6;5;5;6;5;5;5;5;0;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;6;5;5;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;6;6;6;6;6;6;5;5;5;5;5;6;5;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CENAFER;5;5;5;6;6;6;6;5;5;6;3;3;5;5;5;0;5;5;5;6;6;6;6;4;3;6;6;6;2;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CERAIPS;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;0;1;1;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;4;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;4
CERAMIN;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;1;0;1;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;4;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;4
CERAPLA;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;1;1;0;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;4;6;5;4;5;5;4;4;6;6;6;6;4;5;6;6;6;4;5;6;4;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;4
CHONPUR;6;6;6;3;3;3;3;6;6;4;6;6;6;6;6;6;6;6;6;0;5;5;5;6;6;5;5;5;6;6;6;6;6;6;6;6;6;4;6;6;6;6;6;6;3;4;4;4;6;6;4;4;4;6;6;3;6;6;4;6;6;4;6;6;6;6;6;6;6;6;6;5;5;5;6;5;4;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;4;6;6;6;6;4;4;4;4;4;4;6;6;6;6;6;3;6;6;6;4;4;5;6;6;6;6;6;6;6;6;6;3;6;6;6;6;4;6;6;4;4;6;6;6;6;6;6;6;4;4;6;6;6;6;6;6;6;6;6
CHRYABI;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;0;1;2;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;0;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
CHRYLED;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;1;0;2;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
COLETUS;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;2;2;0;6;6;3;3;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
COLPQUE;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;0;4;6;6;6;4;5;5;5;5;5;4;4;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;2;2;2;2;2;2;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;2;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CRISDEP;5;5;5;6;6;6;6;5;5;6;3;2;5;5;5;3;5;5;5;6;6;6;6;4;0;6;6;6;3;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;2;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CRONFLA;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;0;1;1;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
CRONQUE;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;1;0;1;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
CRONRIB;6;6;6;5;5;5;5;6;6;5;6;6;6;6;6;6;6;6;6;5;3;3;3;6;6;1;1;0;6;6;6;6;6;6;6;6;6;5;6;6;6;6;6;6;5;5;5;5;6;6;5;5;5;6;6;5;6;6;5;6;6;5;6;6;6;6;6;6;6;6;6;3;3;3;6;3;5;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;6;6;6;6;5;5;5;5;5;5;6;6;6;6;6;5;6;6;6;5;5;3;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;6;5;5;6;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6;6;6
CRUMSOR;5;5;5;6;6;6;6;5;5;6;3;3;5;5;5;2;5;5;5;6;6;6;6;4;3;6;6;6;0;5;5;5;5;5;4;4;5;6;5;5;5;3;5;5;6;6;6;6;5;5;6;6;6;5;3;6;5;5;6;5;3;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;3;3;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;3;5;5;5;5;4;5;4;4;6;5;3;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CRYPCAS;2;2;2;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;0;5;1;3;1;5;5;4;6;5;3;0;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
CRYPCOR;5;5;5;6;6;6;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;0;5;5;5;5;5;5;6;5;5;5;5;5;5;6;6;6;6;5;5;6;6;6;5;5;6;5;5;6;5;5;6;5;5;5;5;5;5;5;5;5;6;6;6;5;6;6;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;5;5;5;6;6;6;6;6;6;5;5;5;5;5;6;5;5;5;6;6;6;5;5;5;5;5;5;5;5;5;6;5;5;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CRYPHYA;2;2;2;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;1;5;0;3;1;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
CRYPPAR;3;3;3;6;6;6;6;3;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;3;5;3;0;3;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;3;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;3;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;3;6;6;4;3;3;3;3;5;5;4;4
CRYPPOP;2;2;2;6;6;6;6;2;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;1;5;1;3;0;5;5;4;6;5;3;5;5;4;4;6;6;6;6;4;5;6;6;6;2;5;6;4;5;6;4;5;6;4;4;3;5;5;5;5;5;5;6;6;6;3;6;6;5;6;4;5;5;5;5;4;4;4;4;4;4;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;3;3;5;5;6;2;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;3;6;5;5;6;6;5;5;5;5;5;5;2;6;6;4;3;3;3;3;5;5;4;4
CYCLMIN;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;4;4;6;6;6;4;5;5;5;5;5;0;1;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;4;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CYCLNIV;5;5;5;6;6;6;6;5;5;6;4;4;5;5;5;4;5;5;5;6;6;6;6;4;4;6;6;6;4;5;5;5;5;5;1;0;5;6;5;5;5;4;5;5;6;6;6;6;5;5;6;6;6;5;4;6;5;5;6;5;4;6;5;5;5;4;4;4;4;4;4;6;6;6;5;6;6;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;5;4;4;5;6;6;6;6;6;6;5;5;5;5;4;6;5;4;5;6;6;6;4;5;5;5;5;4;5;4;4;6;5;4;5;5;6;5;5;6;6;5;5;5;5;5;5;5;6;6;5;5;5;5;5;5;5;5;5
CYLIDID;4;4;4;6;6;6;6;4;4;6;5;5;5;5;5;5;4;4;4;6;6;6;6;5;5;6;6;6;5;4;5;4;4;4;5;5;0;6;5;4;5;5;4;4;6;6;6;6;2;5;6;6;6;4;5;6;2;5;6;4;5;6;4;4;4;5;5;5;5;5;5;6;6;6;4;6;6;5;6;4;5;5;5;5;2;2;2;2;2;2;4;4;4;6;6;4;5;5;5;6;6;6;6;6;6;5;4;4;5;5;6;4;5;5;6;6;6;5;5;5;5;5;5;4;5;5;6;4;5;5;4;6;5;5;6;6;5;5;5;5;5;5;4;6;6;4;4;4;4;4;5;5;4;2
